station,Date,Time,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l),label_3class
Station3,27-10-2022,00:00:00,29.80768,6.11476,0.097854,14.87633,19.31403,58.92366,2.804883,2
Station2,18-04-2022,19:00:00,40.0932,5.8882,0.126232,22.6182,6.8172,18.162,0.6461,0
station1,25-02-2022,15:00:00,135.4,8.8,0.086,25.58,2.4,22.9,2.26,0
station1,25-05-2022,13:40:00,33.9,5.9,0.312,35.69,6.142294413,18.4,0.5,0
Station3,07-01-2023,11:20:00,59.78768,7.44702,0.146773,16.77097,18.25739,42.64164,2.53271,2
Station2,17-10-2022,18:40:00,32.4355,5.861,0.03293,24.7311,14.9982,23.5252,0.65598,2
Station2,17-11-2022,15:20:00,17.9591,5.5068,0.02711,28.3965,5.3671,28.6691,0.48644,0
Station3,19-11-2022,07:00:00,28.12608,4.55439,0.092267,40.87311,13.4991,49.49126,3.228233,2
station1,19-05-2022,18:40:00,23.8,6.7,0.334,33.68,4.738207912,22.3,0.5,0
Station3,01-01-2023,19:40:00,139.01779,4.68291,0.136222,23.36316,21.43119,27.69025,1.013017,2
station1,06-06-2022,14:20:00,30.9817,7.5337,0.04078,25.7476,17.7577,23.6569,0.88679,2
Station3,18-09-2022,03:00:00,73.99656,7.10082,0.063105,35.64719,13.88144,43.39837,2.925046,2
Station3,24-05-2022,21:40:00,23.25116,5.20397,0.5448056,34.13740975,6.136714214,66.2913,0.331002,0
Station2,30-04-2022,12:20:00,27.5576,6.0878,0.172042,33.87164,6.933385918,37.0303,0.497,0
station1,07-04-2022,02:40:00,5.8,5.8,0.119,27.97,7.4,37.4,0.62,1
station1,21-04-2022,20:40:00,36.4,5.2,0.062,29.97,7.7,30.9,0.74,1
Station3,09-07-2022,02:20:00,21.00154,5.81048,0.123703,31.3743,6.5513,56.24925,1.362634,0
Station3,23-10-2022,06:00:00,93.56973,4.97414,0.148702,31.52135,18.3666,31.54773,1.100033,2
Station3,23-02-2022,18:20:00,117.8712,6.7946,0.023862592,25.092287,1.88408484,34.639812,3.167456,0
Station3,23-03-2022,02:00:00,36.15744,5.83751,0.17211208,27.1596006,6.22934,50.96532,0.6347684,0
Station2,11-02-2022,00:20:00,41.412,6.565,0.045198,22.15268,4.55492,25.4448,0.76384,0
