Light,Nitrate,Iron,Phosphate,Temperature,pH,CO2,Population
1011.0,1.11,0.17,0.08,23.39,7.27,9.22,4736.51
1206.5,3.29,0.14,0.04,14.74,7.94,9.59,4677.34
1450.63,1.67,0.04,0.02,28.58,7.35,4.46,3388.85
1158.4,2.48,0.09,0.06,27.18,7.43,6.34,4899.17
1159.92,2.15,0.15,0.08,22.52,7.92,6.46,4974.25
1635.29,6.64,0.12,0.19,12.56,7.38,8.28,3204.32
565.81,1.26,0.02,0.19,20.81,7.91,2.21,3985.53
982.2,5.81,0.2,0.02,15.17,7.26,8.83,4254.6
1457.01,3.7,0.13,0.1,17.91,7.43,8.45,3472.52
1976.44,1.8,0.1,0.05,18.39,7.48,6.8,0.0
195.56,1.26,0.13,0.04,21.48,7.08,4.24,1422.44
203.04,2.06,0.04,0.12,27.25,7.73,7.52,1042.87
1844.44,2.98,0.05,0.03,17.92,7.92,9.31,1483.83
53.67,3.62,0.2,0.1,19.25,7.37,3.65,0.0
1576.58,1.72,0.1,0.11,28.37,7.98,9.24,2974.64
444.43,5.7,0.11,0.12,20.2,7.81,8.26,2670.12
1139.49,4.71,0.17,0.09,22.82,7.75,2.1,4205.04
245.66,3.92,0.14,0.19,19.69,7.73,7.78,1779.42
275.37,6.79,0.1,0.08,19.59,7.12,2.68,1643.84
315.16,5.83,0.18,0.13,27.52,7.37,9.91,2261.36
1187.49,7.19,0.1,0.16,25.19,7.58,3.19,4234.07
532.71,4.46,0.07,0.19,20.84,7.43,4.95,3920.46
747.33,5.03,0.2,0.16,19.98,7.78,6.57,4798.94
482.07,5.7,0.01,0.1,14.25,7.79,6.72,3754.74
1531.83,4.06,0.12,0.12,18.39,7.03,8.34,3824.25
581.63,5.68,0.14,0.16,17.21,7.56,9.7,3962.81
796.03,1.28,0.12,0.05,14.93,7.64,7.59,4025.55
788.42,3.3,0.1,0.13,13.65,7.22,2.85,4460.01
1190.39,5.27,0.02,0.1,23.48,7.43,6.32,4516.85
75.62,4.09,0.14,0.17,13.58,7.53,7.68,526.22
1871.19,2.56,0.01,0.01,23.19,7.33,5.92,1149.73
164.58,4.39,0.07,0.08,25.01,7.8,4.65,592.29
1994.72,7.18,0.09,0.09,17.05,7.72,9.67,0.0
319.26,3.71,0.1,0.17,13.33,7.47,2.68,2663.0
1855.75,3.02,0.04,0.13,15.95,7.01,5.23,1396.9
751.04,5.85,0.06,0.01,22.56,7.27,7.39,4068.05
921.3,6.05,0.15,0.04,26.77,7.15,2.83,4799.43
1101.71,7.36,0.17,0.18,23.41,7.57,3.58,4711.99
1179.9,6.25,0.17,0.15,16.77,7.76,2.39,4250.72
925.88,4.97,0.09,0.01,21.39,7.41,3.82,4672.41
153.53,6.69,0.19,0.07,28.27,7.63,3.57,926.16
2006.38,3.52,0.19,0.12,24.0,7.49,9.69,370.86
1540.87,4.58,0.1,0.03,12.26,7.96,2.61,3831.27
687.66,2.18,0.03,0.04,17.16,7.92,8.86,3783.48
1054.31,6.83,0.05,0.17,16.84,7.13,4.96,4360.49
1302.26,2.55,0.05,0.15,19.94,7.6,8.11,3891.71
945.35,7.73,0.14,0.03,11.01,7.7,3.44,4524.58
755.42,3.74,0.1,0.07,10.02,7.73,4.77,4286.65
537.17,6.09,0.16,0.11,13.14,7.66,6.13,3620.27
1897.53,1.07,0.1,0.19,20.52,7.94,7.95,517.21
888.35,2.08,0.15,0.06,19.9,7.06,8.88,4762.46
1277.45,3.84,0.08,0.05,12.53,7.01,7.55,4808.9
1921.84,1.36,0.16,0.02,19.4,7.41,8.24,1211.31
